timestamp,device_id,data_type,data_value,numeric_value
2025-06-15 11:31:10,ENV188,Temperature,24.8°C,24.8
2025-06-15 11:31:10,ENV188,Humidity,51.7%,51.7
2025-06-15 11:31:10,ENV188,CO2,776ppm,776.0
2025-06-15 11:31:10,ENV188,AirQuality,35.8,35.8
2025-06-15 11:46:10,ENV919,Temperature,20.0°C,20.0
2025-06-15 11:46:10,ENV919,Humidity,74.0%,74.0
2025-06-15 11:46:10,ENV919,CO2,507ppm,507.0
2025-06-15 11:46:10,ENV919,AirQuality,280.8,280.8
2025-06-15 12:01:10,ENV821,Temperature,26.8°C,26.8
2025-06-15 12:01:10,ENV821,Humidity,40.3%,40.3
2025-06-15 12:01:10,ENV821,CO2,670ppm,670.0
2025-06-15 12:01:10,ENV821,AirQuality,249.5,249.5
2025-06-15 12:16:10,ENV648,Temperature,29.2°C,29.2
2025-06-15 12:16:10,ENV648,Humidity,35.5%,35.5
2025-06-15 12:16:10,ENV648,CO2,550ppm,550.0
2025-06-15 12:16:10,ENV648,AirQuality,378.5,378.5
2025-06-15 12:31:10,ENV188,Temperature,31.5°C,31.5
2025-06-15 12:31:10,ENV188,Humidity,56.8%,56.8
2025-06-15 12:31:10,ENV188,CO2,834ppm,834.0
2025-06-15 12:31:10,ENV188,AirQuality,383.6,383.6
2025-06-15 12:46:10,ENV919,Temperature,31.3°C,31.3
2025-06-15 12:46:10,ENV919,Humidity,60.9%,60.9
2025-06-15 12:46:10,ENV919,CO2,939ppm,939.0
2025-06-15 12:46:10,ENV919,AirQuality,233.6,233.6
2025-06-15 13:01:10,ENV821,Temperature,27.6°C,27.6
2025-06-15 13:01:10,ENV821,Humidity,46.7%,46.7
2025-06-15 13:01:10,ENV821,CO2,808ppm,808.0
2025-06-15 13:01:10,ENV821,AirQuality,157.6,157.6
2025-06-15 13:16:10,ENV648,Temperature,29.2°C,29.2
2025-06-15 13:16:10,ENV648,Humidity,64.0%,64.0
2025-06-15 13:16:10,ENV648,CO2,1303ppm,1303.0
2025-06-15 13:16:10,ENV648,AirQuality,56.6,56.6
2025-06-15 13:31:10,ENV188,Temperature,25.6°C,25.6
2025-06-15 13:31:10,ENV188,Humidity,70.6%,70.6
2025-06-15 13:31:10,ENV188,CO2,361ppm,361.0
2025-06-15 13:31:10,ENV188,AirQuality,424.7,424.7
2025-06-15 13:46:10,ENV919,Temperature,23.3°C,23.3
2025-06-15 13:46:10,ENV919,Humidity,55.4%,55.4
2025-06-15 13:46:10,ENV919,CO2,971ppm,971.0
2025-06-15 13:46:10,ENV919,AirQuality,273.0,273.0
2025-06-15 14:01:10,ENV821,Temperature,27.7°C,27.7
2025-06-15 14:01:10,ENV821,Humidity,68.7%,68.7
2025-06-15 14:01:10,ENV821,CO2,796ppm,796.0
2025-06-15 14:01:10,ENV821,AirQuality,88.4,88.4
2025-06-15 14:16:10,ENV648,Temperature,19.4°C,19.4
2025-06-15 14:16:10,ENV648,Humidity,70.6%,70.6
2025-06-15 14:16:10,ENV648,CO2,478ppm,478.0
2025-06-15 14:16:10,ENV648,AirQuality,104.6,104.6
2025-06-15 14:31:10,ENV188,Temperature,20.2°C,20.2
2025-06-15 14:31:10,ENV188,Humidity,47.5%,47.5
2025-06-15 14:31:10,ENV188,CO2,488ppm,488.0
2025-06-15 14:31:10,ENV188,AirQuality,87.3,87.3
2025-06-15 14:46:10,ENV919,Temperature,18.7°C,18.7
2025-06-15 14:46:10,ENV919,Humidity,68.7%,68.7
2025-06-15 14:46:10,ENV919,CO2,512ppm,512.0
2025-06-15 14:46:10,ENV919,AirQuality,249.6,249.6
2025-06-15 15:01:10,ENV821,Temperature,27.3°C,27.3
2025-06-15 15:01:10,ENV821,Humidity,79.1%,79.1
2025-06-15 15:01:10,ENV821,CO2,576ppm,576.0
2025-06-15 15:01:10,ENV821,AirQuality,324.3,324.3
2025-06-15 15:16:10,ENV648,Temperature,23.3°C,23.3
2025-06-15 15:16:10,ENV648,Humidity,50.9%,50.9
2025-06-15 15:16:10,ENV648,CO2,669ppm,669.0
2025-06-15 15:16:10,ENV648,AirQuality,306.2,306.2
2025-06-15 15:31:10,ENV188,Temperature,22.6°C,22.6
2025-06-15 15:31:10,ENV188,Humidity,54.9%,54.9
2025-06-15 15:31:10,ENV188,CO2,832ppm,832.0
2025-06-15 15:31:10,ENV188,AirQuality,395.5,395.5
2025-06-15 15:46:10,ENV919,Temperature,18.7°C,18.7
2025-06-15 15:46:10,ENV919,Humidity,63.5%,63.5
2025-06-15 15:46:10,ENV919,CO2,1103ppm,1103.0
2025-06-15 15:46:10,ENV919,AirQuality,257.3,257.3
2025-06-15 16:01:10,ENV821,Temperature,28.9°C,28.9
2025-06-15 16:01:10,ENV821,Humidity,65.6%,65.6
2025-06-15 16:01:10,ENV821,CO2,1114ppm,1114.0
2025-06-15 16:01:10,ENV821,AirQuality,34.9,34.9
2025-06-15 16:16:10,ENV648,Temperature,18.3°C,18.3
2025-06-15 16:16:10,ENV648,Humidity,47.0%,47.0
2025-06-15 16:16:10,ENV648,CO2,644ppm,644.0
2025-06-15 16:16:10,ENV648,AirQuality,390.8,390.8
2025-06-15 16:31:10,ENV188,Temperature,32.8°C,32.8
2025-06-15 16:31:10,ENV188,Humidity,55.6%,55.6
2025-06-15 16:31:10,ENV188,CO2,882ppm,882.0
2025-06-15 16:31:10,ENV188,AirQuality,313.7,313.7
2025-06-15 16:46:10,ENV919,Temperature,24.5°C,24.5
2025-06-15 16:46:10,ENV919,Humidity,66.4%,66.4
2025-06-15 16:46:10,ENV919,CO2,1357ppm,1357.0
2025-06-15 16:46:10,ENV919,AirQuality,117.3,117.3
2025-06-15 17:01:10,ENV821,Temperature,19.1°C,19.1
2025-06-15 17:01:10,ENV821,Humidity,56.6%,56.6
2025-06-15 17:01:10,ENV821,CO2,1474ppm,1474.0
2025-06-15 17:01:10,ENV821,AirQuality,276.7,276.7
2025-06-15 17:16:10,ENV648,Temperature,28.2°C,28.2
2025-06-15 17:16:10,ENV648,Humidity,69.0%,69.0
2025-06-15 17:16:10,ENV648,CO2,896ppm,896.0
2025-06-15 17:16:10,ENV648,AirQuality,81.1,81.1
2025-06-15 17:31:10,ENV188,Temperature,19.1°C,19.1
2025-06-15 17:31:10,ENV188,Humidity,81.9%,81.9
2025-06-15 17:31:10,ENV188,CO2,627ppm,627.0
2025-06-15 17:31:10,ENV188,AirQuality,240.6,240.6
2025-06-15 17:46:10,ENV919,Temperature,22.2°C,22.2
2025-06-15 17:46:10,ENV919,Humidity,40.6%,40.6
2025-06-15 17:46:10,ENV919,CO2,1231ppm,1231.0
2025-06-15 17:46:10,ENV919,AirQuality,323.1,323.1
2025-06-15 18:01:10,ENV821,Temperature,28.0°C,28.0
2025-06-15 18:01:10,ENV821,Humidity,72.6%,72.6
2025-06-15 18:01:10,ENV821,CO2,1155ppm,1155.0
2025-06-15 18:01:10,ENV821,AirQuality,211.6,211.6
2025-06-15 18:16:10,ENV648,Temperature,24.9°C,24.9
2025-06-15 18:16:10,ENV648,Humidity,81.9%,81.9
2025-06-15 18:16:10,ENV648,CO2,1033ppm,1033.0
2025-06-15 18:16:10,ENV648,AirQuality,266.7,266.7
2025-06-15 18:31:10,ENV188,Temperature,33.2°C,33.2
2025-06-15 18:31:10,ENV188,Humidity,55.8%,55.8
2025-06-15 18:31:10,ENV188,CO2,725ppm,725.0
2025-06-15 18:31:10,ENV188,AirQuality,275.4,275.4
2025-06-15 18:46:10,ENV919,Temperature,24.5°C,24.5
2025-06-15 18:46:10,ENV919,Humidity,41.0%,41.0
2025-06-15 18:46:10,ENV919,CO2,1447ppm,1447.0
2025-06-15 18:46:10,ENV919,AirQuality,162.4,162.4
2025-06-15 19:01:10,ENV821,Temperature,25.8°C,25.8
2025-06-15 19:01:10,ENV821,Humidity,56.6%,56.6
2025-06-15 19:01:10,ENV821,CO2,1209ppm,1209.0
2025-06-15 19:01:10,ENV821,AirQuality,116.1,116.1
2025-06-15 19:16:10,ENV648,Temperature,31.4°C,31.4
2025-06-15 19:16:10,ENV648,Humidity,31.7%,31.7
2025-06-15 19:16:10,ENV648,CO2,767ppm,767.0
2025-06-15 19:16:10,ENV648,AirQuality,310.3,310.3
2025-06-15 19:31:10,ENV188,Temperature,21.2°C,21.2
2025-06-15 19:31:10,ENV188,Humidity,54.5%,54.5
2025-06-15 19:31:10,ENV188,CO2,993ppm,993.0
2025-06-15 19:31:10,ENV188,AirQuality,412.7,412.7
2025-06-15 19:46:10,ENV919,Temperature,19.9°C,19.9
2025-06-15 19:46:10,ENV919,Humidity,70.4%,70.4
2025-06-15 19:46:10,ENV919,CO2,987ppm,987.0
2025-06-15 19:46:10,ENV919,AirQuality,83.7,83.7
2025-06-15 20:01:10,ENV821,Temperature,26.4°C,26.4
2025-06-15 20:01:10,ENV821,Humidity,32.5%,32.5
2025-06-15 20:01:10,ENV821,CO2,1233ppm,1233.0
2025-06-15 20:01:10,ENV821,AirQuality,341.6,341.6
2025-06-15 20:16:10,ENV648,Temperature,33.6°C,33.6
2025-06-15 20:16:10,ENV648,Humidity,74.8%,74.8
2025-06-15 20:16:10,ENV648,CO2,463ppm,463.0
2025-06-15 20:16:10,ENV648,AirQuality,171.2,171.2
2025-06-15 20:31:10,ENV188,Temperature,29.1°C,29.1
2025-06-15 20:31:10,ENV188,Humidity,59.3%,59.3
2025-06-15 20:31:10,ENV188,CO2,1084ppm,1084.0
2025-06-15 20:31:10,ENV188,AirQuality,73.7,73.7
2025-06-15 20:46:10,ENV919,Temperature,28.7°C,28.7
2025-06-15 20:46:10,ENV919,Humidity,49.5%,49.5
2025-06-15 20:46:10,ENV919,CO2,1419ppm,1419.0
2025-06-15 20:46:10,ENV919,AirQuality,400.2,400.2
2025-06-15 21:01:10,ENV821,Temperature,19.7°C,19.7
2025-06-15 21:01:10,ENV821,Humidity,63.2%,63.2
2025-06-15 21:01:10,ENV821,CO2,895ppm,895.0
2025-06-15 21:01:10,ENV821,AirQuality,76.5,76.5
2025-06-15 21:16:10,ENV648,Temperature,25.9°C,25.9
2025-06-15 21:16:10,ENV648,Humidity,77.2%,77.2
2025-06-15 21:16:10,ENV648,CO2,692ppm,692.0
2025-06-15 21:16:10,ENV648,AirQuality,319.6,319.6
2025-06-15 21:31:10,ENV188,Temperature,29.7°C,29.7
2025-06-15 21:31:10,ENV188,Humidity,33.7%,33.7
2025-06-15 21:31:10,ENV188,CO2,966ppm,966.0
2025-06-15 21:31:10,ENV188,AirQuality,304.9,304.9
2025-06-15 21:46:10,ENV919,Temperature,19.6°C,19.6
2025-06-15 21:46:10,ENV919,Humidity,70.2%,70.2
2025-06-15 21:46:10,ENV919,CO2,835ppm,835.0
2025-06-15 21:46:10,ENV919,AirQuality,170.1,170.1
2025-06-15 22:01:10,ENV821,Temperature,22.0°C,22.0
2025-06-15 22:01:10,ENV821,Humidity,68.5%,68.5
2025-06-15 22:01:10,ENV821,CO2,1172ppm,1172.0
2025-06-15 22:01:10,ENV821,AirQuality,417.1,417.1
2025-06-15 22:16:10,ENV648,Temperature,26.4°C,26.4
2025-06-15 22:16:10,ENV648,Humidity,63.6%,63.6
2025-06-15 22:16:10,ENV648,CO2,935ppm,935.0
2025-06-15 22:16:10,ENV648,AirQuality,192.4,192.4
2025-06-15 22:31:10,ENV188,Temperature,28.8°C,28.8
2025-06-15 22:31:10,ENV188,Humidity,41.0%,41.0
2025-06-15 22:31:10,ENV188,CO2,1151ppm,1151.0
2025-06-15 22:31:10,ENV188,AirQuality,364.0,364.0
2025-06-15 22:46:10,ENV919,Temperature,27.4°C,27.4
2025-06-15 22:46:10,ENV919,Humidity,76.2%,76.2
2025-06-15 22:46:10,ENV919,CO2,409ppm,409.0
2025-06-15 22:46:10,ENV919,AirQuality,371.3,371.3
2025-06-15 23:01:10,ENV821,Temperature,30.9°C,30.9
2025-06-15 23:01:10,ENV821,Humidity,46.8%,46.8
2025-06-15 23:01:10,ENV821,CO2,874ppm,874.0
2025-06-15 23:01:10,ENV821,AirQuality,150.2,150.2
2025-06-15 23:16:10,ENV648,Temperature,22.7°C,22.7
2025-06-15 23:16:10,ENV648,Humidity,54.7%,54.7
2025-06-15 23:16:10,ENV648,CO2,1257ppm,1257.0
2025-06-15 23:16:10,ENV648,AirQuality,420.6,420.6
2025-06-15 23:31:10,ENV188,Temperature,23.1°C,23.1
2025-06-15 23:31:10,ENV188,Humidity,70.5%,70.5
2025-06-15 23:31:10,ENV188,CO2,1035ppm,1035.0
2025-06-15 23:31:10,ENV188,AirQuality,67.4,67.4
2025-06-15 23:46:10,ENV919,Temperature,28.2°C,28.2
2025-06-15 23:46:10,ENV919,Humidity,45.9%,45.9
2025-06-15 23:46:10,ENV919,CO2,550ppm,550.0
2025-06-15 23:46:10,ENV919,AirQuality,411.1,411.1
2025-06-16 00:01:10,ENV821,Temperature,30.7°C,30.7
2025-06-16 00:01:10,ENV821,Humidity,72.5%,72.5
2025-06-16 00:01:10,ENV821,CO2,444ppm,444.0
2025-06-16 00:01:10,ENV821,AirQuality,337.1,337.1
2025-06-16 00:16:10,ENV648,Temperature,33.8°C,33.8
2025-06-16 00:16:10,ENV648,Humidity,72.9%,72.9
2025-06-16 00:16:10,ENV648,CO2,1273ppm,1273.0
2025-06-16 00:16:10,ENV648,AirQuality,137.8,137.8
2025-06-16 00:31:10,ENV188,Temperature,32.2°C,32.2
2025-06-16 00:31:10,ENV188,Humidity,37.7%,37.7
2025-06-16 00:31:10,ENV188,CO2,546ppm,546.0
2025-06-16 00:31:10,ENV188,AirQuality,245.0,245.0
2025-06-16 00:46:10,ENV919,Temperature,27.2°C,27.2
2025-06-16 00:46:10,ENV919,Humidity,67.6%,67.6
2025-06-16 00:46:10,ENV919,CO2,1465ppm,1465.0
2025-06-16 00:46:10,ENV919,AirQuality,271.1,271.1
2025-06-16 01:01:10,ENV821,Temperature,22.0°C,22.0
2025-06-16 01:01:10,ENV821,Humidity,40.3%,40.3
2025-06-16 01:01:10,ENV821,CO2,1474ppm,1474.0
2025-06-16 01:01:10,ENV821,AirQuality,322.8,322.8
2025-06-16 01:16:10,ENV648,Temperature,23.1°C,23.1
2025-06-16 01:16:10,ENV648,Humidity,79.4%,79.4
2025-06-16 01:16:10,ENV648,CO2,1222ppm,1222.0
